Longitude,Latitude,Address
-85.23305591,35.07168023, 3610 SAPULPA ST
-85.2524408,35.07159035, 2907 CURTIS ST
-85.24539153,35.07746221, 3512 TAYLOR ST
-85.24546757,35.07734753, 3510 TAYLOR ST
-85.23742691,35.07738616, 2701 FAIRVIEW DR
-85.20874712,35.07358038, 3820 PEACH ST
-85.24521805,35.07142251, 2505 WILDER ST
-85.26040117,35.0720501, 2707 RIVERSIDE DR
-85.23040933,35.07337203, 3704 WAUCHULA ST
-85.25163605,35.06688966, 2517 TAYLOR ST
-85.26706962,35.07317342, 915 APPLING ST
-85.2555444,35.07439321, 3008 N  HICKORY ST
-85.24330181,35.06996943, 3004 CAMPBELL ST
-85.20997883,35.07045686, 3812 DEERFOOT DR
-85.25730331,35.07840606, 1404 WISDOM ST
-85.22900155,35.07856789, 3909 BONNY OAKS DR
-85.22632775,35.0785347, 3116 DWIGHT ST
-85.23481178,35.07479875, 3500 PARKWAY DR
-85.24856092,35.07145062, 2303 STUART ST
-85.26764552,35.07212608, 2474 CLAY ST
-85.24175383,35.07940005, 2420 RIDGECREST DR
-85.25300396,35.0809513, 3401 N  HAWTHORNE ST
-85.23156201,35.07178955, 3612 WAUCHULA ST
-85.24722607,35.07227778, 2313 WILDER ST
-85.25154204,35.07211294, 2102 STUART ST
-85.2453431,35.0785207, 3525 TAYLOR ST
-85.23356632,35.09012316, 4212 PINE ST
-85.23452727,35.07855394, 2812 RIDGECREST DR
-85.20981054,35.0739767, 4312 TEE PEE DR
-85.21182068,35.07363505, 3838 DEERFOOT DR
-85.22845946,35.07467892, 3812 SALUDA ST
-85.22585006,35.07850819, 3118 DWIGHT ST
-85.23463934,35.09191359, 2500 CEDAR ST
-85.2322302,35.07319738, 3644 SAPULPA ST
-85.25182823,35.07261573, 2017 STUART ST
-85.24709089,35.07309869, 2306 ELMENDORF ST
-85.25655407,35.07371457, 2985 N  HICKORY ST
-85.25279994,35.07101572, 2813 CURTIS ST
-85.22922225,35.07535722, 3816 WAUCHULA ST
-85.24620113,35.07591123, 3400 TAYLOR ST
-85.25203593,35.06642791, 2509 TAYLOR ST
-85.26877515,35.06740043, 2125 ELENA DR
-85.23541163,35.07856151, 2809 RIDGECREST DR
-85.23365112,35.07164899, 3609 SAPULPA ST
-85.23448003,35.08939414, 2515 N  WILDER ST
-85.25251017,35.07146204, 2901 CURTIS ST
-85.22402818,35.0807764, 4054 GLENCOE ST
-85.25473218,35.07609287, 3114 N  HICKORY ST
-85.2514916,35.07249124, 2101 STUART ST
-85.24527484,35.07826038, 3523 TAYLOR ST
-85.25191585,35.07154224, 2906 CURTIS ST
-85.25480018,35.0759787, 3112 N  HICKORY ST
-85.26168091,35.07387798, 1300 CUSHMAN ST
-85.25670544,35.07603936, 1507 WILDER ST
